County,State,Cluster_idx
Autauga,Alabama,4
Baldwin,Alabama,8
Barbour,Alabama,1
Bibb,Alabama,12
Blount,Alabama,12
Bullock,Alabama,12
Butler,Alabama,10
Calhoun,Alabama,10
Chambers,Alabama,5
Cherokee,Alabama,12
Chilton,Alabama,10
Choctaw,Alabama,12
Clarke,Alabama,10
Clay,Alabama,10
Cleburne,Alabama,11
Coffee,Alabama,10
Colbert,Alabama,9
Conecuh,Alabama,12
Coosa,Alabama,4
Covington,Alabama,10
Crenshaw,Alabama,12
Cullman,Alabama,8
Dale,Alabama,12
Dallas,Alabama,4
DeKalb,Alabama,10
Elmore,Alabama,10
Escambia,Alabama,10
Etowah,Alabama,6
Fayette,Alabama,12
Franklin,Alabama,8
Geneva,Alabama,12
Greene,Alabama,10
Hale,Alabama,4
Henry,Alabama,10
Houston,Alabama,9
Jackson,Alabama,6
Jefferson,Alabama,10
Lamar,Alabama,12
Lauderdale,Alabama,9
Lawrence,Alabama,12
Lee,Alabama,6
Limestone,Alabama,12
Lowndes,Alabama,4
Macon,Alabama,6
Madison,Alabama,10
Marengo,Alabama,6
Marion,Alabama,6
Marshall,Alabama,6
Mobile,Alabama,6
Monroe,Alabama,4
Montgomery,Alabama,9
Morgan,Alabama,12
Perry,Alabama,12
Pickens,Alabama,10
Pike,Alabama,12
Randolph,Alabama,6
Russell,Alabama,12
St. Clair,Alabama,12
Shelby,Alabama,4
Sumter,Alabama,4
Talladega,Alabama,10
Tallapoosa,Alabama,5
Tuscaloosa,Alabama,10
Walker,Alabama,12
Washington,Alabama,5
Wilcox,Alabama,4
Winston,Alabama,12
Aleutians East,Alaska,0
Aleutians West,Alaska,0
Anchorage,Alaska,10
Bethel,Alaska,13
Bristol Bay,Alaska,0
Denali,Alaska,0
Dillingham,Alaska,0
Fairbanks North Star,Alaska,10
Haines,Alaska,0
Hoonah-Angoon,Alaska,0
Juneau,Alaska,12
Kenai Peninsula,Alaska,12
Ketchikan Gateway,Alaska,12
Kodiak Island,Alaska,0
Kusilvak,Alaska,0
Lake and Peninsula,Alaska,0
Matanuska-Susitna,Alaska,12
Nome,Alaska,0
North Slope,Alaska,0
Northwest Arctic,Alaska,0
Petersburg,Alaska,12
Prince of Wales-Hyder,Alaska,12
Sitka,Alaska,0
Skagway,Alaska,0
Southeast Fairbanks,Alaska,13
Valdez-Cordova,Alaska,0
Wrangell,Alaska,0
Yakutat,Alaska,0
Yukon-Koyukuk,Alaska,13
Apache,Arizona,5
Cochise,Arizona,12
Coconino,Arizona,5
Gila,Arizona,12
Graham,Arizona,12
Greenlee,Arizona,12
La Paz,Arizona,10
Maricopa,Arizona,8
Mohave,Arizona,10
Navajo,Arizona,6
Pima,Arizona,4
Pinal,Arizona,10
Santa Cruz,Arizona,12
Yavapai,Arizona,10
Yuma,Arizona,10
Arkansas,Arkansas,12
Ashley,Arkansas,12
Baxter,Arkansas,12
Benton,Arkansas,12
Boone,Arkansas,12
Bradley,Arkansas,9
Calhoun,Arkansas,0
Carroll,Arkansas,12
Chicot,Arkansas,12
Clark,Arkansas,12
Clay,Arkansas,12
Cleburne,Arkansas,4
Cleveland,Arkansas,12
Columbia,Arkansas,12
Conway,Arkansas,5
Craighead,Arkansas,10
Crawford,Arkansas,12
Crittenden,Arkansas,6
Cross,Arkansas,12
Dallas,Arkansas,13
Desha,Arkansas,12
Drew,Arkansas,6
Faulkner,Arkansas,10
Franklin,Arkansas,12
Fulton,Arkansas,0
Garland,Arkansas,12
Grant,Arkansas,12
Greene,Arkansas,12
Hempstead,Arkansas,10
Hot Spring,Arkansas,12
Howard,Arkansas,12
Independence,Arkansas,12
Izard,Arkansas,12
Jackson,Arkansas,0
Jefferson,Arkansas,4
Johnson,Arkansas,12
Lafayette,Arkansas,10
Lawrence,Arkansas,6
Lee,Arkansas,4
Lincoln,Arkansas,12
Little River,Arkansas,0
Logan,Arkansas,12
Lonoke,Arkansas,12
Madison,Arkansas,13
Marion,Arkansas,12
Miller,Arkansas,10
Mississippi,Arkansas,12
Monroe,Arkansas,12
Montgomery,Arkansas,0
Nevada,Arkansas,12
Newton,Arkansas,12
Ouachita,Arkansas,12
Perry,Arkansas,12
Phillips,Arkansas,4
Pike,Arkansas,12
Poinsett,Arkansas,10
Polk,Arkansas,12
Pope,Arkansas,12
Prairie,Arkansas,12
Pulaski,Arkansas,4
Randolph,Arkansas,12
St. Francis,Arkansas,12
Saline,Arkansas,10
Scott,Arkansas,12
Searcy,Arkansas,12
Sebastian,Arkansas,12
Sevier,Arkansas,2
Sharp,Arkansas,12
Stone,Arkansas,12
Union,Arkansas,12
Van Buren,Arkansas,4
Washington,Arkansas,10
White,Arkansas,10
Woodruff,Arkansas,12
Yell,Arkansas,12
Alameda,California,9
Alpine,California,12
Amador,California,12
Butte,California,12
Calaveras,California,12
Colusa,California,12
Contra Costa,California,10
Del Norte,California,12
El Dorado,California,12
Fresno,California,10
Glenn,California,12
Humboldt,California,12
Imperial,California,6
